tourney_id,tourney_name,tourney_date,surface,winner,country_winner,loser,country_loser,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,aces
2018-M021,Madrid Masters,20180507,Clay,"Djokovic, Novak",SRB,"Nishikori, Kei",JPN,7-5 6-4,3,R64,119.0,6.0,5.0,73.0,46.0,33.0,13.0,11.0,5.0,6.0,1.0,1.0,84.0,49.0,34.0,15.0,11.0,4.0,7.0,12.0,2220.0,20.0,1835.0,3.0
2018-M009,Rome Masters,20180514,Clay,"Djokovic, Novak",SRB,"Nishikori, Kei",JPN,2-6 6-1 6-3,3,QF,141.0,4.0,3.0,93.0,63.0,42.0,12.0,12.0,5.0,9.0,2.0,2.0,85.0,53.0,31.0,11.0,12.0,4.0,10.0,18.0,1905.0,24.0,1665.0,2.0
2018-540,Wimbledon,20180702,Grass,"Djokovic, Novak",SRB,"Nishikori, Kei",JPN,6-3 3-6 6-2 6-2,5,QF,155.0,6.0,3.0,91.0,61.0,52.0,12.0,17.0,4.0,7.0,3.0,1.0,117.0,80.0,47.0,16.0,17.0,7.0,14.0,21.0,1715.0,28.0,1530.0,2.0
2018-560,Us Open,20180827,Hard,"Djokovic, Novak",SRB,"Nishikori, Kei",JPN,6-3 6-4 6-2,5,SF,143.0,3.0,2.0,78.0,50.0,40.0,20.0,14.0,2.0,2.0,2.0,2.0,101.0,62.0,37.0,20.0,13.0,13.0,17.0,6.0,4445.0,19.0,1755.0,1.0
2018-M035,Washington,20180730,Hard,"Zverev, Alexander",GER,"Nishikori, Kei",JPN,3-6 6-1 6-4,3,QF,105.0,8.0,1.0,60.0,45.0,35.0,9.0,13.0,0.0,2.0,2.0,1.0,80.0,50.0,31.0,15.0,13.0,7.0,11.0,3.0,5665.0,20.0,1800.0,5.0
2018-0425,Barcelona,20180423,Clay,"Garcia Lopez, Guillermo",ESP,"Nishikori, Kei",JPN,6-3 0-0 RET,3,R32,46.0,1.0,0.0,21.0,13.0,11.0,6.0,4.0,0.0,0.0,2.0,2.0,46.0,22.0,14.0,10.0,5.0,7.0,9.0,69.0,789.0,22.0,1835.0,1.0
2018-5014,Shanghai Masters,20181008,Hard,"Federer, Roger",SUI,"Nishikori, Kei",JPN,6-4 7-6(4),3,QF,111.0,10.0,1.0,84.0,60.0,39.0,13.0,11.0,4.0,6.0,0.0,3.0,83.0,53.0,33.0,15.0,11.0,5.0,8.0,2.0,6900.0,12.0,2730.0,5.0
2018-0352,Paris Masters,20181029,Hard,"Federer, Roger",SUI,"Nishikori, Kei",JPN,6-4 6-4,3,QF,79.0,7.0,2.0,56.0,29.0,28.0,16.0,10.0,1.0,1.0,3.0,0.0,63.0,37.0,21.0,16.0,10.0,1.0,3.0,3.0,6260.0,11.0,3210.0,5.0
2018-0341,Metz,20180917,Hard,"Bachinger, Matthias",GER,"Nishikori, Kei",JPN,2-6 6-4 7-5,3,SF,130.0,13.0,1.0,112.0,73.0,53.0,17.0,15.0,7.0,9.0,5.0,1.0,85.0,60.0,43.0,16.0,15.0,2.0,4.0,166.0,340.0,12.0,2475.0,6.0
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,Davis Cup G1 R1: DOM vs BRA,20180202,Hard,"Monteiro, Thiago",BRA,"Cid, Roberto",DOM,6-7(6) 7-5 6-2,3,RR,136.0,2.0,3.0,112.0,71.0,49.0,22.0,16.0,6.0,8.0,6.0,5.0,102.0,53.0,39.0,21.0,16.0,5.0,10.0,117.0,495.0,468.0,75.0,1.0
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,Davis Cup G1 R1: DOM vs BRA,20180202,Hard,"Sorgi, Joao Pedro",BRA,"Cid, Roberto",DOM,6-7(8) 6-1 6-4,3,RR,145.0,3.0,2.0,85.0,54.0,46.0,18.0,15.0,4.0,5.0,3.0,4.0,115.0,65.0,43.0,23.0,14.0,6.0,10.0,365.0,118.0,468.0,75.0,1.0
2018-7161,Quito,20180205,Clay,"Monteiro, Thiago",BRA,"Giannessi, Alessandro",ITA,7-6(4) 4-6 7-5,3,R16,219.0,4.0,3.0,123.0,72.0,55.0,27.0,17.0,11.0,13.0,10.0,6.0,100.0,60.0,43.0,25.0,17.0,7.0,9.0,118.0,495.0,159.0,343.0,1.0
2018-M-DC-2018-G1-AM-M-COL-BRA-01,Davis Cup G1 R2: COL vs BRA,20180406,Hard,"Monteiro, Thiago",BRA,"Giraldo, Santiago",COL,6-1 6-2,3,RR,59.0,4.0,2.0,52.0,36.0,30.0,7.0,8.0,3.0,3.0,6.0,0.0,45.0,28.0,16.0,5.0,7.0,1.0,5.0,125.0,450.0,290.0,168.0,4.0
2018-520,Roland Garros,20180528,Clay,"Bautista Agut, Roberto",ESP,"Giraldo, Santiago",COL,6-4 7-5 6-3,5,R64,127.0,3.0,1.0,87.0,44.0,35.0,24.0,16.0,3.0,5.0,2.0,0.0,107.0,71.0,44.0,17.0,15.0,6.0,12.0,13.0,2120.0,315.0,159.0,1.0
2018-M-DC-2018-WG-PO-ARG-COL-01,Davis Cup WG PO: ARG vs COL,20180914,Clay,"Schwartzman, Diego Sebastian",ARG,"Giraldo, Santiago",COL,6-3 6-1 6-7(3) 6-1,5,RR,163.0,4.0,2.0,119.0,80.0,54.0,18.0,18.0,6.0,10.0,3.0,1.0,121.0,77.0,42.0,19.0,17.0,10.0,20.0,14.0,2110.0,410.0,95.0,1.0
2018-0316,Bastad,20180716,Clay,"Monteiro, Thiago",BRA,"Ymer, Elias",SWE,6-4 6-2,3,R32,73.0,2.0,3.0,54.0,31.0,26.0,13.0,9.0,1.0,1.0,3.0,6.0,49.0,26.0,21.0,7.0,9.0,4.0,7.0,145.0,395.0,111.0,510.0,2.0
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,Davis Cup G1 R2: POR vs SWE,20180406,Hard,"Sousa, Joao",POR,"Ymer, Elias",SWE,6-4 6-4,3,RR,86.0,1.0,0.0,58.0,37.0,27.0,15.0,10.0,3.0,3.0,9.0,1.0,77.0,54.0,35.0,11.0,10.0,6.0,8.0,70.0,760.0,133.0,418.0,1.0
2018-7480,Cabo San Lucas,20180730,Hard,"Mannarino, Adrian",FRA,"Ymer, Elias",SWE,6-0 6-2,3,R16,55.0,1.0,0.0,45.0,28.0,20.0,9.0,7.0,5.0,6.0,0.0,2.0,37.0,21.0,7.0,4.0,7.0,1.0,7.0,25.0,1580.0,108.0,510.0,1.0
2018-520,Roland Garros,20180528,Clay,"Fognini, Fabio",ITA,"Ymer, Elias",SWE,6-4 6-1 6-2,5,R64,117.0,1.0,1.0,92.0,60.0,43.0,16.0,13.0,6.0,7.0,3.0,1.0,77.0,40.0,26.0,14.0,12.0,3.0,9.0,18.0,1940.0,122.0,453.0,1.0
2018-580,Australian Open,20180115,Hard,"Mcdonald, Mackenzie",USA,"Ymer, Elias",SWE,6-4 6-3 4-6 6-1,5,R128,155.0,3.0,7.0,115.0,73.0,56.0,20.0,18.0,5.0,7.0,2.0,4.0,124.0,64.0,42.0,26.0,18.0,7.0,13.0,186.0,277.0,140.0,398.0,1.0
2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,Davis Cup G1 R1: UKR vs SWE,20180202,Hard,"Stakhovsky, Sergiy",UKR,"Ymer, Elias",SWE,6-4 6-4,3,RR,94.0,13.0,2.0,61.0,28.0,23.0,21.0,10.0,3.0,3.0,8.0,5.0,73.0,47.0,34.0,10.0,10.0,3.0,5.0,113.0,503.0,135.0,435.0,8.0
2018-0429,Stockholm,20181015,Hard,"Sock, Jack",USA,"Ymer, Elias",SWE,7-5 3-6 6-3,3,R16,142.0,8.0,3.0,93.0,54.0,45.0,19.0,15.0,7.0,8.0,7.0,4.0,97.0,58.0,42.0,20.0,15.0,4.0,6.0,18.0,1850.0,135.0,435.0,3.0
2018-0314,Gstaad,20180723,Clay,"Daniel, Taro",JPN,"Ymer, Elias",SWE,7-6(9) 7-5,3,R32,122.0,1.0,0.0,94.0,62.0,40.0,20.0,12.0,4.0,5.0,7.0,2.0,80.0,52.0,40.0,13.0,12.0,5.0,7.0,88.0,668.0,111.0,510.0,0.0
2018-7163,Istanbul,20180430,Clay,"Trungelliti, Marco",ARG,"Ymer, Elias",SWE,4-6 6-3 6-2,3,R32,125.0,0.0,2.0,82.0,56.0,38.0,17.0,14.0,5.0,7.0,3.0,4.0,104.0,66.0,41.0,17.0,13.0,9.0,13.0,186.0,306.0,135.0,418.0,0.0
2018-0314,Gstaad,20180723,Clay,"Djere, Laslo",SRB,"Galovic, Viktor",ITA,6-7(5) 6-3 7-6(5),3,QF,160.0,12.0,7.0,129.0,75.0,59.0,27.0,17.0,8.0,9.0,5.0,2.0,107.0,77.0,56.0,17.0,16.0,1.0,3.0,101.0,568.0,267.0,199.0,4.0
2018-M-DC-2018-WG-M-CAN-CRO-01,Davis Cup WG R1: CAN vs CRO,20180202,Clay,"Shapovalov, Denis",CAN,"Galovic, Viktor",ITA,6-4 6-4 6-2,3,RR,110.0,10.0,3.0,82.0,52.0,43.0,17.0,14.0,8.0,8.0,1.0,1.0,89.0,62.0,45.0,11.0,14.0,8.0,12.0,48.0,1031.0,181.0,293.0,5.0
2018-0321,Stuttgart,20180611,Grass,"Marterer, Maximilian",GER,"Galovic, Viktor",ITA,3-6 6-4 6-1,3,R32,94.0,11.0,3.0,73.0,44.0,35.0,17.0,13.0,5.0,6.0,9.0,4.0,85.0,58.0,43.0,10.0,13.0,10.0,13.0,50.0,999.0,180.0,318.0,7.0
2018-M-DC-2018-WG-PO-SRB-IND-01,Davis Cup WG PO: SRB vs IND,20180914,Clay,"Djere, Laslo",SRB,"Ramanathan, Ramkumar",IND,3-6 6-4 7-6(2) 6-2,5,RR,191.0,5.0,3.0,114.0,73.0,57.0,25.0,20.0,6.0,8.0,6.0,4.0,134.0,76.0,47.0,35.0,19.0,4.0,8.0,86.0,671.0,135.0,420.0,2.0
2018-0891,Pune,20180101,Hard,"Cilic, Marin",CRO,"Ramanathan, Ramkumar",IND,6-4 6-3,3,R16,72.0,8.0,1.0,50.0,26.0,23.0,15.0,10.0,0.0,1.0,5.0,1.0,56.0,35.0,22.0,9.0,9.0,1.0,4.0,6.0,3805.0,148.0,379.0,7.0
2018-0315,Newport,20180716,Grass,"Johnson, Steve",USA,"Ramanathan, Ramkumar",IND,7-5 3-6 6-2,3,F,119.0,1.0,6.0,85.0,46.0,38.0,18.0,14.0,1.0,2.0,10.0,4.0,89.0,48.0,36.0,21.0,15.0,2.0,5.0,48.0,1005.0,161.0,349.0,1.0
